product_name,price_int,price_dec,seller,a-size-small href 2
Women's Dayo Metallic Oxford Flat,34,99,,
Women's Classic Lace up Flat Ballet Loafers Oxford Sneaker Shoes,7,27,,
T.U.K.. Unisex V7270 Creeper Oxford,89,99,,
Sport Women's Pretty Please Flex Appeal Fashion Sneaker,29,68,,
Women's Incise Tailored Oxford,149,95,,
Desert Wedge Cheetah Suede 10003056 Womens,45,00,TOMS,
Womens Flex Appeal 2.0 - Ombre,18,71,,
Women's Shoe Classic Lace Up Dress Low Flat Heel Oxford,17,60,WenHong,
Women's 1461 Mono Smooth Oxford,98,48,,
Casual Shoes Womens Bianca Crochet Leather Rubber 1015892,22,96,,
Women's Studiogrand Perf Slip on Loafer,44,51,,
Sandy-31W Vegan Suede Round Toe Lace up Oxford Shoes,7,27,,
Women's Jolie,29,99,,
Women's AP1 Sneaker,24,99,,
